,0,1,2
0,2.746319725732635,2.3607163198248653,2.3607163198248653
1,4.806652260751992,4.806652260751992,4.806652260751992
2,3.300206789095937,3.300206789095937,3.218460959491032
3,4.225664306490572,4.225664306490572,4.225664306490572
4,2.9425886552953546,2.9425886552953546,2.9425886552953546
5,3.841419650779353,3.841419650779353,3.841419650779353
6,2.207655885504427,1.9879121563051896,1.9879121563051896
7,3.373694067634031,3.373694067634031,3.373694067634031
8,3.213300059422373,3.0587874714999006,3.0587874714999006
9,4.703953280376644,4.703953280376644,4.703953280376644
