0,1,2,3,4,5,6,7,8
1.863141104,2.228771507,2.960087348,3.754927457,4.51372968,4.656799395,4.883441746,4.992866289,4.968412226
1.347008178,1.96629672,2.301593517,2.475248005,2.659361667,2.960430152,3.178193348,3.243103875,3.544158519
1.967001684,2.970280279,3.369042891,3.677995736,3.904871205,4.125711188,4.535174286,4.650792333,4.913087971
1,1,1,1,1,1,1,1,1
1.254789115,1.938805247,2.071039059,2.345296951,3.118186749,3.649546942,4.257193864,4.533846997,4.839420005
2.340788334,2.935914046,2.943198442,2.968287363,2.980984622,3.063850494,3.136268077,3.429902129,3.72815869
1.110200659,2.093297945,2.400470202,2.587559995,2.805884597,2.936183998,3.007347173,3.044324036,3.423221865
1.057599306,1.975137531,2.355367735,2.636786666,3.009119958,3.265984177,3.511338726,3.655479725,3.803430035
1,1.308510662,1.50467589,1.644797545,1.758606478,1.845129355,1.829298848,1.90947909,1.945705194
1.226742813,2.478664092,3.254100261,3.979963439,4.736742988,4.728409646,4.905196323,4.973624814,4.927770073
